Name," ""Team"""," ""Position"""
Yadier Molina," ""STL"""," ""Catcher"""
John Nelson," ""STL"""," ""First Baseman"""
Albert Pujols," ""STL"""," ""First Baseman"""
Adam Kennedy," ""STL"""," ""Second Baseman"""
Aaron Miles," ""STL"""," ""Second Baseman"""
David Eckstein," ""STL"""," ""Shortstop"""
Scott Rolen," ""STL"""," ""Third Baseman"""
Scott Spiezio," ""STL"""," ""Third Baseman"""
Jim Edmonds," ""STL"""," ""Outfielder"""
So Taguchi," ""STL"""," ""Outfielder"""
Juan Encarnacion," ""STL"""," ""Outfielder"""
Skip Schumaker," ""STL"""," ""Outfielder"""
John Rodriguez," ""STL"""," ""Outfielder"""
Chris Duncan," ""STL"""," ""Outfielder"""
Adam Wainwright," ""STL"""," ""Starting Pitcher"""
Mark Mulder," ""STL"""," ""Starting Pitcher"""
Anthony Reyes," ""STL"""," ""Starting Pitcher"""
Ryan Franklin," ""STL"""," ""Starting Pitcher"""
Kip Wells," ""STL"""," ""Starting Pitcher"""
Chris Carpenter," ""STL"""," ""Starting Pitcher"""
Russ Springer," ""STL"""," ""Relief Pitcher"""
Jason Isringhausen," ""STL"""," ""Relief Pitcher"""
Ricardo Rincon," ""STL"""," ""Relief Pitcher"""
Braden Looper," ""STL"""," ""Relief Pitcher"""
Randy Flores," ""STL"""," ""Relief Pitcher"""
Josh Hancock," ""STL"""," ""Relief Pitcher"""
Brad Thompson," ""STL"""," ""Relief Pitcher"""
Tyler Johnson," ""STL"""," ""Relief Pitcher"""
Chris Narveson," ""STL"""," ""Relief Pitcher"""
Randy Keisler," ""STL"""," ""Relief Pitcher"""
Josh Kinney," ""STL"""," ""Relief Pitcher"""
